id,nom,departement,ville,cp,type,no2_2017,pm10_2017,pm25_2017,geometry,nb_equipements_ville
0931206F,Collège Jean Vilar,93,Villetaneuse,93430,secondaire,39.04999046325683,22.879531293967,14.40451440811157,"c(2.34345947240494, 48.9528403284023)",11
0931207G,Collège Evariste Galois,93,Épinay-sur-Seine,93800,secondaire,30.794667675113303,19.67646869920706,12.00303614239674,"c(2.31955605716284, 48.951046087251)",54
0931209J,Collège Georges Politzer,93,Montreuil,93100,secondaire,35.52941036820412,21.18972763425569,13.17940126389265,"c(2.47399177150796, 48.8621449697857)",109
0931210K,Collège Marcelin Berthelot,93,Montreuil,93104,secondaire,41.65398531496524,22.973024186982563,14.427544672787189,"c(2.43712966547903, 48.8561630290743)",109
0931211L,Collège Marais de Villiers,93,Montreuil,93100,secondaire,35.337693959474564,20.43338113569943,12.476302398741243,"c(2.43359503435876, 48.869508729151)",109
0931212M,Collège Lenain de Tillemont,93,Montreuil,93100,secondaire,33.45140046834945,20.214658632636308,12.330608209371569,"c(2.46116286694278, 48.8594870088753)",109
0931213N,Collège Colonel Fabien,93,Montreuil,93100,secondaire,33.7971505188942,20.18491170723594,12.312433978021144,"c(2.45338463066941, 48.8753015901383)",109
0931214P,Collège Clos Saint Vincent,93,Noisy-le-Grand,93160,secondaire,29.602124524116515,19.8670125547826,12.118877590894698,"c(2.55343708710431, 48.8451789174163)",70
0931216S,Collège Jean Jaurès,93,Pantin,93500,secondaire,34.046821269392964,20.13426249593945,12.281159746646882,"c(2.4114625206362, 48.9154784372186)",57
0931217T,Collège Iréne et Frédéric Joliot Curie,93,Pantin,93500,secondaire,40.21636654376984,22.101941406902743,14.227789209187032,"c(2.4053055475918, 48.8915219404663)",57
0931218U,Collège Jean Lolive,93,Pantin,93500,secondaire,36.75546822547911,20.344534113241263,12.409546165466308,"c(2.39655605982957, 48.9026233687988)",57
0931219V,Collège Jean-Jacques Rousseau,93,Le-Pré-Saint-Gervais,93310,secondaire,40.97786653399467,22.44947792173329,13.316564964503051,"c(2.40077315960745, 48.8833757727491)",16
0931220W,Collège du Travail,93,Bagnolet,93170,secondaire,35.920431600809096,20.574994870324005,12.605408084988593,"c(2.42373466663259, 48.875169723207)",36
0931221X,Collège Louise Michel,93,Clichy-sous-Bois,93390,secondaire,31.1873309135437,20.19413446998016,12.36529188156128,"c(2.53412412446342, 48.907142205789)",35
0931222Y,Collège Pierre-André Houel,93,Romainville,93230,secondaire,34.71686148829758,20.257251914801216,12.354448653268626,"c(2.43537833910694, 48.8834540365188)",27
0931223Z,Collège Gustave Courbet,93,Pierrefitte-sur-Seine,93380,secondaire,31.460024562478065,19.78595997859566,12.07018562965095,"c(2.36294429103067, 48.9491783921017)",24
0931224A,Collège Pablo Néruda,93,Pierrefitte-sur-Seine,93380,secondaire,28.835652167797083,19.371896694858638,11.81685714364052,"c(2.36760272258341, 48.968616397095)",24
